                                                                                                                                            organic_result_title                                                                                                                                                                                                                                                                                                                                organic_result_link                                                                                                                                                   citation_title                                                                                                                                                                                                                                                              citation_snippet
                                                                                                                           Communication externalities in cities                                                                                                                                                                                                                                                                                https://www.sciencedirect.com/science/article/pii/S0094119004000750                                                                                                                            Communication externalities in cities                                                                                                                                          Charlot, Sylvie, and Gilles Duranton. "Communication externalities in cities." Journal of urban economics 56, no. 3 (2004): 581-613.
                  The overall economic impact of Higher Education Institutions (HEIs) on their host sub-regions, multi-sectoral analysis for the city of Glasgow                                                                                                                                                                                                                                                                                                       http://stax.strath.ac.uk/downloads/9w032327w                   The overall economic impact of Higher Education Institutions (HEIs) on their host sub-regions, multi-sectoral analysis for the city of Glasgow                                                                                              Hermannsson, Kristinn. "The overall economic impact of Higher Education Institutions (HEIs) on their host sub-regions, multi-sectoral analysis for the city of Glasgow." (2012).
                                                                                    ECONOMICS OF TERTIARY EDUCATION: ANALYSIS OF STUDENTS'DECISIONS AND OUTCOMES                                                                                                                                                                                                                                                                                                     http://www.cek.ef.uni-lj.si/doktor/bartolj.pdf                                                                                     ECONOMICS OF TERTIARY EDUCATION: ANALYSIS OF STUDENTS'DECISIONS AND OUTCOMES                                                                                       Bartolj, T. J. A. Š. A., and S. Polanec. "ECONOMICS OF TERTIARY EDUCATION: ANALYSIS OF STUDENTS’DECISIONS AND OUTCOMES." PhD diss., Doctoral dissertation. Ljubljana: T. Bartolj, 2015.
                                                                                             The benefit of STEM skills to individuals, society, and the economy                                                                                                                                                                                                                                          https://royalsociety.org/-/media/education/policy/vision/reports/ev-9-vision-research-report-20140624.pdf                                                                                              The benefit of STEM skills to individuals, society, and the economy                                                                                                    Walker, Ian, and Yu Zhu. "The benefit of STEM skills to individuals, society, and the economy." Report to Royal Society’s Vision for Science and Mathematics (2013): 1-38.
                            Schooling returns for migrant workers in China: Estimations from the perspective of the institutional environment in a rural setting                                                                                                                                                                                                                                                                                https://www.sciencedirect.com/science/article/pii/S1043951X17301414                             Schooling returns for migrant workers in China: Estimations from the perspective of the institutional environment in a rural setting                                      Yao, Yao, George S. Chen, Ruhul Salim, and Xiaojun Yu. "Schooling returns for migrant workers in China: Estimations from the perspective of the institutional environment in a rural setting." China Economic Review 51 (2018): 240-256.
                                                                                  Returns to foreign education: Yet another but different cross country analysis                                                                                                                                                                                                                                                                                         https://papers.ssrn.com/sol3/papers.cfm?abstract_id=735164                                                                                   Returns to foreign education: Yet another but different cross country analysis                                                                                                                                              Grütter, Max. "Returns to foreign education: Yet another but different cross country analysis." Available at SSRN 735164 (2005).
                                                                                                                      Returns for Entrepreneurs versus Employees                                                                                                                                                                                                                                                                             http://www.iza.org/conference_files/EntreRes2010/van%20praag_m1318.pdf                                                                                                                       Returns for Entrepreneurs versus Employees                                                                                                                                                        VAN PRAAG, Mirjam; VAN WITTELOOSTUIJN, Arjen; VAN DER SLUIS, Justin. Returns for Entrepreneurs versus Employees. 2009.
                                                                                                                Measuring social capital and its economic impact                                                                                                                                                                                                                                            https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=15e0ef15f03a184b9c52f60cd7cdfffae46c64a1                                                                                                                 Measuring social capital and its economic impact                                                                                                                     Durkin, John T. Measuring social capital and its economic impact. Irving B. Harris Graduate School of Public Policy Studies, University of Chicago, 2001.
                                                                                                       Returns to cognitive skills: new evidence from 14 nations                                                                                                                                                                                                                                                                                  https://www.tandfonline.com/doi/abs/10.1080/13511610.2018.1508335                                                                                                        Returns to cognitive skills: new evidence from 14 nations                                                                        Smith, Michael L., Petra Anýžová, and Petr Matějů. "Returns to cognitive skills: new evidence from 14 nations." Innovation: The European Journal of Social Science Research 35, no. 2 (2022): 323-345.
                                                                                                            School-to-Work Transitions and Labor Market Outcomes                                                                                                                                                                                                                                                                                                  https://refubium.fu-berlin.de/handle/fub188/31769                                                                                                             School-to-Work Transitions and Labor Market Outcomes                                                                                                                                                                                      Hügle, Dominik. "School-to-Work Transitions and Labor Market Outcomes." PhD diss., 2021.
                                                                        Signalling and productivity effects of overeducation: is It really a waste of resources?                                                                                                                                                                                                                                                                                                        https://www.recercat.cat/handle/2072/203170                                                                         Signalling and productivity effects of overeducation: is It really a waste of resources?                                                                                                                   Kedir, Abbi, Andri Kyrizi, and Francisco Martínez Mora. "Signalling and productivity effects of overeducation: is It really a waste of resources?." (2012).
                                                                              Empirical Decomposition of the IV–OLS Gap with Heterogeneous and Nonlinear Effects                                                                                                                                                                                                                                                                       https://direct.mit.edu/rest/article-abstract/doi/10.1162/rest_a_01169/109261                                                                               Empirical Decomposition of the IV–OLS Gap with Heterogeneous and Nonlinear Effects                                                                                                                   Ishimaru, Shoya. "Empirical Decomposition of the IV–OLS Gap with Heterogeneous and Nonlinear Effects." The Review of Economics and Statistics (2022): 1-45.
                                                                                                  Longevity and lifetime labor supply: Evidence and implications                                                                                                                                                                                                                                                                                           https://onlinelibrary.wiley.com/doi/abs/10.3982/ECTA8107                                                                                                   Longevity and lifetime labor supply: Evidence and implications                                                                                                                                                     Hazan, Moshe. "Longevity and lifetime labor supply: Evidence and implications." Econometrica 77, no. 6 (2009): 1829-1863.
                                                                          USING ADMINISTRATIVE AND SURVEY DATA TO ESTIMATE RETURNS TO HIGHER EDUCATION IN CANADA                                                                                                                                                                                                                                                     https://www.unb.ca/nbirdt/research/publications/_resources/pdf/nb-irdt-2019_07_pse-returns.pdf                                                                           USING ADMINISTRATIVE AND SURVEY DATA TO ESTIMATE RETURNS TO HIGHER EDUCATION IN CANADA                                                                                                                                      McDonald, Ted, Bethany Daigle, and Pablo Miah. "USING ADMINISTRATIVE AND SURVEY DATA TO ESTIMATE RETURNS TO HIGHER EDUCATION IN CANADA."
                                                                                                                      Nonparametric methods and higher education                                                                                                                                                                                                                                                                             https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_82.pdf                                                                                                                       Nonparametric methods and higher education                                                                           Daraio, Cinzia. "Nonparametric methods and higher education." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2109-2114. Dordrecht: Springer Netherlands, 2020.
                                                                                                        Convexities and the returns to education in South Africa                                                                                                                                                                                                                                                                                                           https://open.uct.ac.za/handle/11427/6079                                                                                                         Convexities and the returns to education in South Africa                                                                                                                                                   Poswell, Laura. "Convexities and the returns to education in South Africa." Master's thesis, University of Cape Town, 2003.
                                                                                                                  Returns to education in China: A meta-analysis                                                                                                                                                                                                                                        https://www.monash.edu/__data/assets/pdf_file/0006/925701/returns_to_education_in_china_a_meta-analysis.pdf                                                                                                                   Returns to education in China: A meta-analysis                                                                                                                  Awaworyi, Sefa, and Vinod Mishra. "Returns to education in China: A meta-analysis." Department of Economics of Monash University Discussion Paper 41 (2014).
                                                                                                        Labor market flexibility and investment in human capital                                                                                                                                                                                                                                            https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ffcec41f77ca6377144d63a06af23f2f396e51cc                                                                                                         Labor market flexibility and investment in human capital                                                                                          Salehi-Isfahani, Djavad, and Russell D. Murphy. Labor market flexibility and investment in human capital. Department of Economics, Virginia Polytechnic Inst. and State Univ., 2007.
                                                                                               Education and class in Pakistan: The growth of the private sector                                                                                                                                                                                                                                                                                 https://jisrmsse.szabist.edu.pk/index.php/szabist/article/view/372                                                                                                Education and class in Pakistan: The growth of the private sector                                                                                                               Memon, Asif Saeed. "Education and class in Pakistan: The growth of the private sector." JISR management and social sciences & economics 4, no. 2 (2006): 32-39.
                                                                                           Education and the Informal Sector: Evidence from Venezuela and Brazil                                                                                                                                                                                                                                                                                                           https://theses.hal.science/tel-01168572/                                                                                            Education and the Informal Sector: Evidence from Venezuela and Brazil                                                                                                                           Carpio, Susana. "Education and the Informal Sector: Evidence from Venezuela and Brazil." PhD diss., Université d'Auvergne-Clermont-Ferrand I, 2014.
             Schooling in Mexico: An Evaluation of Private Costs as a Determinant of Household Demand for Education, and the Benefits of a Free Textbook Program                                                                                                                                                                                                                                                                                                    https://digitalrepository.unm.edu/econ_etds/41/              Schooling in Mexico: An Evaluation of Private Costs as a Determinant of Household Demand for Education, and the Benefits of a Free Textbook Program                                                                                           Moore, Lauren Kelly. "Schooling in Mexico: An Evaluation of Private Costs as a Determinant of Household Demand for Education, and the Benefits of a Free Textbook Program." (2010).
                                                           The supply side of the race between demand and supply: Policies to foster skill in the modern economy                                                                                                                                                                                                                                                                                          https://link.springer.com/article/10.1023/A:1022970121410                                                            The supply side of the race between demand and supply: Policies to foster skill in the modern economy                                                                                                           Heckman, by James J. "The supply side of the race between demand and supply: Policies to foster skill in the modern economy." De Economist 151, no. 1 (2003): 1-34.
                                                                                                                   Access and returns to education in Kazakhstan                                                                                                                                                                                                                                                                                                    http://theses.ncl.ac.uk/jspui/handle/10443/5288                                                                                                                    Access and returns to education in Kazakhstan                                                                                                                                                                   Kemelbayeva, Saule. "Access and returns to education in Kazakhstan." PhD diss., Newcastle University, 2020.
                                                                   Labour market returns to educational attainment, school quality, and numeracy in South Africa                                                                                                                                                                                                                                                                                                      http://scholar.sun.ac.za/handle/10019.1/17820                                                                    Labour market returns to educational attainment, school quality, and numeracy in South Africa                                                                                            Van Broekhuizen, Hendrik. "Labour market returns to educational attainment, school quality, and numeracy in South Africa." PhD diss., Stellenbosch: Stellenbosch University, 2011.
                                                                                               The labor market value of higher education: Now and in the future                                                                                                                                                                                                                                                                                      https://link.springer.com/chapter/10.1007/978-3-030-03457-3_9                                                                                                The labor market value of higher education: Now and in the future                                                                                  Belfield, Clive R., and Thomas R. Bailey. "The labor market value of higher education: Now and in the future." Higher Education: Handbook of Theory and Research: Volume 34 (2019): 373-414.
