                                                                                                                                          organic_result_title                                                                                                                                                                                                                                                                                                                               organic_result_link                                                                                                                                                 citation_title                                                                                                                                                                                                                                                 citation_snippet
                                                                                   The wage premium on tertiary education: New estimates for 21 OECD countries                                                                                                                                                                                                                                                       https://www.oecd-ilibrary.org/economics/the-wage-premium-on-tertiary-education_033568367526                                                                                    The wage premium on tertiary education: New estimates for 21 OECD countries                                                                                                                         Strauss, Hubert, and Christine de La Maisonneuve. "The wage premium on tertiary education: New estimates for 21 OECD countries." (2007).
                                                                                                    Zvi Griliches' contribution to the theory of human capital                                                                                                                                                                                                                                                                                                                https://www.nber.org/papers/w10081                                                                                                     Zvi Griliches' contribution to the theory of human capital                                                                                                                                                                            Gronau, Reuben. "Zvi Griliches' contribution to the theory of human capital." (2003).
                                                  Returns to education in Central and Eastern European transition economies: The role of macroeconomic context                                                                                                                                                                                                                                                                                    https://journals.sagepub.com/doi/pdf/10.1177/17454999221122327                                                   Returns to education in Central and Eastern European transition economies: The role of macroeconomic context  Wincenciak, Leszek, Gabriela Grotkowska, and Tomasz Gajderowicz. "Returns to education in Central and Eastern European transition economies: The role of macroeconomic context." Research in Comparative and International Education 17, no. 4 (2022): 655-676.
                                                                                                 The Health Returns to Education-What Can We Learn from Twins?                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1113685                                                                                                  The Health Returns to Education-What Can We Learn from Twins?                                                                                                                                                                       Lundborg, Petter. "The Health Returns to Education-What Can We Learn from Twins?." (2008).
                                                                 Returns to education and annual income gaps updated in Israel: a quantile regression approach                                                                                                                                                                                                                                                                               https://www.inderscienceonline.com/doi/abs/10.1504/IJSE.2013.050600                                                                  Returns to education and annual income gaps updated in Israel: a quantile regression approach                                                                            Changqing, Xu. "Returns to education and annual income gaps updated in Israel: a quantile regression approach." International Journal of Sustainable Economy 5, no. 1 (2013): 76-103.
                                                          The impact of education on economic and social outcomes: An overview of recent advances in economics                                                                                                                                                                                                                                           https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7641f35a3de8038c258c851c46dd78c6d97b6a04                                                           The impact of education on economic and social outcomes: An overview of recent advances in economics                                                                                           Riddell, William Craig. The impact of education on economic and social outcomes: An overview of recent advances in economics. Canadian Policy Research Networks, 2006.
                                                                                                Return to Education and Income Inequality in Europe and the US                                                                                                                                                                                                                     https://gini-research.org/wp-content/uploads/2021/03/DP_69_Return-to-Education-and-Income-Inequality-in-Europe-and-the-US.pdf                                                                                                 Return to Education and Income Inequality in Europe and the US                                                                     Mastromarco, Camilla, Vito Peragine, and Laura Serlenga. "Return to Education and Income Inequality in Europe and the US." Amsterdam: Amsterdam Institute for Advanced Labor Studies (2011).
                                                                                                              Earnings and human capital: evidence for Finland                                                                                                                                                                                                                                                                                           https://www.etla.fi/wp-content/uploads/b156.pdf#page=53                                                                                                               Earnings and human capital: evidence for Finland                                                                                                                                                    Asplund, Rita. "Earnings and human capital: evidence for Finland." Returns to Human Capital in Europe (1999).
                                                                                                                                           The Benefits of VET                                                                                                                                                                                                                                                                                                                                              None                                                                                                                                            The Benefits of VET                                                                                                                                              VOGTENHUBER, STEFAN. "The Benefits of VET." National VET Research Report Austria. Vienna: Refer Net Austria (2009).
                                                                                                   The economic returns to lifelong learning in OECD countries                                                                                                                                                                                                                                                                                     https://www.tandfonline.com/doi/abs/10.1080/09645299800000021                                                                                                    The economic returns to lifelong learning in OECD countries                                                                                                                Cohn, Elchanan, and John T. Addison. "The economic returns to lifelong learning in OECD countries." Education economics 6, no. 3 (1998): 253-307.
                                                                                                 Revisiting the returns to schooling in the Portuguese economy                                                                                                                                                                                                                                                                        https://www.bportugal.pt/sites/default/files/anexos/papers/ree201705_e.pdf                                                                                                  Revisiting the returns to schooling in the Portuguese economy                                                                                                            Campos, M., and Hugo Reis. "Revisiting the returns to schooling in the Portuguese economy." Banco de Portugal Economic Studies 3, no. 2 (2017): 1-28.
                                                                                                          Economic impact of education: Evidence and relevance                                                                                                                                                                                                                                                                                                     https://eprints.gla.ac.uk/114207/1/114207.pdf                                                                                                           Economic impact of education: Evidence and relevance                                                                                                                                                                  Hermannsson, Kristinn. "Economic impact of education: Evidence and relevance." (2016): 873-893.
                                                                                                         A test of the sorting model of education in Australia                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0272775704000317                                                                                                          A test of the sorting model of education in Australia                                                                                              Miller, Paul W., Charles Mulvey, and Nick Martin. "A test of the sorting model of education in Australia." Economics of Education Review 23, no. 5 (2004): 473-482.
                                                                       The returns to college quality in Japan: Does your college choice affect your earnings?                                                                                                                                                                                                                                                                   https://lab.iisec.ac.jp/~hiromatsu/2013-kaken/files/inui%E3%83%BBesri201311.pdf                                                                        The returns to college quality in Japan: Does your college choice affect your earnings?                                                                                      Nakamuro, Makiko, and Tomohiko Inui. The returns to college quality in Japan: Does your college choice affect your earnings?. Vol. 306. ESRI Discussion Paper Series, 2013.
                                                                       Returns to Education and Human Capital Externalities: Empirical Evidence from Indonesia                                                                                                                                                                                                                                                                                            https://espace.curtin.edu.au/handle/20.500.11937/70523                                                                        Returns to Education and Human Capital Externalities: Empirical Evidence from Indonesia                                                                                                               Purnastuti, Losina. "Returns to Education and Human Capital Externalities: Empirical Evidence from Indonesia." PhD diss., Curtin University, 2011.
                                                                                                      Social returns to education in the Republic of Mauritius                                                                                                                                                                                                                                                                                       https://discovery.ucl.ac.uk/id/eprint/10006684/1/497985.pdf                                                                                                       Social returns to education in the Republic of Mauritius                                                                                                              Sanmukhiya, Chintamanee. "Social returns to education in the Republic of Mauritius." PhD diss., Institute of Education, University of London, 2007.
               Returns to schooling in urban China: New evidence using heteroskedasticity restrictions to obtain identification without exclusion restrictions                                                                                                                                      https://www.monash.edu/__data/assets/pdf_file/0007/925810/returns_to_schooling_in_urban_china_new_evidence_using_heteroskedasticity_restrictions_to_obtain_identification_without_exclusion_restrictions.pdf                Returns to schooling in urban China: New evidence using heteroskedasticity restrictions to obtain identification without exclusion restrictions Mishra, Vinod, and Russell Smyth. "Returns to schooling in urban China: New evidence using heteroskedasticity restrictions to obtain identification without exclusion restrictions." Department of Economics, Monash University, Discussion Paper 33 (2012): 12.
                                                                                         What's the value of a degree? Evidence from Egypt, Jordan and Tunisia                                                                                                                                                                                                                                                                           https://www.tandfonline.com/doi/shareview/10.1080/03057925.2019.1590801                                                                                          What's the value of a degree? Evidence from Egypt, Jordan and Tunisia                                                                   Krafft, Caroline, Zea Branson, and Taylor Flak. "What’s the value of a degree? Evidence from Egypt, Jordan and Tunisia." Compare: A Journal of Comparative and International Education (2019).
                                                                                                The rate of return to higher education over the business cycle                                                                                                                                                                                                                                                                                https://search.informit.org/doi/abs/10.3316/ielapa.444324388637913                                                                                                 The rate of return to higher education over the business cycle                                                                                 Corliss, Michael, Phil Lewis, and Anne Daly. "The rate of return to higher education over the business cycle." Australian Journal of Labour Economics 16, no. 2 (2013): 219-236.
                                                                                                         Private and Social Returns to Investment in Education                                                                                                                                                                                                                                                                                            https://openknowledge.worldbank.org/handle/10986/35818                                                                                                          Private and Social Returns to Investment in Education                                                                                                                               Patrinos, Harry Anthony, George Psacharopoulos, and Aysit Tansel. "Private and Social Returns to Investment in Education." (2020).
                                                                   How profitable is to study in Spain? An empirical insight using a new source of information                                                                                                                                                                                                                                                                                                        https://rua.ua.es/dspace/handle/10045/2550                                                                    How profitable is to study in Spain? An empirical insight using a new source of information                                                                                                          Casado-Díaz, José M., and Adelaida Lillo-Bañuls. "How profitable is to study in Spain? An empirical insight using a new source of information." (2005).
                                                        Course non-completion and multiple qualifications: re-estimating the returns to education in Australia                                                                                                                                                                                                                                                                              https://search.informit.org/doi/abs/10.3316/informit.380460972557504                                                         Course non-completion and multiple qualifications: re-estimating the returns to education in Australia                                    Peters, Austen, Alfred M. Dockery, and Sherry Bawa. "Course non-completion and multiple qualifications: re-estimating the returns to education in Australia." Australian Journal of Labour Economics 25, no. 1 (2022): 55-80.
                                             An analysis of labour market returns to education in Vietnam: evidence from the national labour force survey 2012                                                                                                                                                                                                                                                                                https://www.itcilo.org/sites/default/files/inline-files/nguyen.pdf                                              An analysis of labour market returns to education in Vietnam: evidence from the national labour force survey 2012                     Tien, Nguyen Dung. "An analysis of labour market returns to education in Vietnam: evidence from the national labour force survey 2012." International Training Centre of the International Labour Organization Working Paper 3 (2014): 1-31.
                                                                                    The changing Rates of Return to Education in India: Evidence from NSS data                                                                                                                                                                                                                                                   http://isec.ac.in/WP%20358%20-%20Smritirekha%20Singhari%20and%20S%20Madheswaran%20-%20Final.pdf                                                                                     The changing Rates of Return to Education in India: Evidence from NSS data                                                                                Singhari, Smrutirekha, and S. Madheswaran. The changing Rates of Return to Education in India: Evidence from NSS data. Bangalore: Institute for Social and Economic Change, 2016.
                                                                                                                          RETURNS TO EDUCATION CASE OF UKRAINE                                                                                                                                                                                                                                                                                          https://kse.ua/wp-content/uploads/2019/02/Leshchenko.pdf                                                                                                                           RETURNS TO EDUCATION CASE OF UKRAINE                                                                                                                                                                Natalie, Leschenko. "RETURNS TO EDUCATION CASE OF UKRAINE." PhD diss., National University, 2001.
                                                                         Returns to schooling for urban and migrant workers in China: a detailed investigation                                                                                                                                                                                                                                                                                 https://www.tandfonline.com/doi/abs/10.1080/00036846.2015.1085642                                                                          Returns to schooling for urban and migrant workers in China: a detailed investigation                                                                                        Sakellariou, Chris, and Zheng Fang. "Returns to schooling for urban and migrant workers in China: a detailed investigation." Applied Economics 48, no. 8 (2016): 684-700.
                                                                                                            Return on education in two major Vietnamese cities                                                                                                                                                                                                                                                                                                                       https://www.mdpi.com/530366                                                                                                             Return on education in two major Vietnamese cities                                                                                                                            CHOI, Daeheon; CHUNG, Chune Young; TRUONG, Ha. Return on education in two major Vietnamese cities. Sustainability, 2019, 11.18: 4903.
