obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_hurdle,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,effect_w,se_w,se_precision_w,t_w,significant_w,X
444,29,Botchorishvili (2007),6.94,0.59,11.76271186440678,6.3500000000000005,7.53,0.23963844097900014,0.02037272048668733,49.08524615813856,0,1,0,0,1,0,0,2276,4,2271,10,13.2,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,7.0000000000000001E-3,0.59399999999999997,0.39900000000000002,1,0,0.59599999999999997,0.40400000000000003,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
445,29,Botchorishvili (2007),8.19,0.77,10.636363636363635,7.42,8.959999999999999,0.2777836025289046,0.026116407075367106,38.29010618168822,0,1,0,0,1,0,0,1357,3,1353,10,12.9,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,7.0000000000000001E-3,0.65100000000000002,0.34200000000000003,1,0,1,0,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
446,29,Botchorishvili (2007),5.09,0.88,5.784090909090909,4.21,5.97,0.1878134035333307,0.03247068666195108,30.797008095667803,0,1,0,0,1,0,0,919,3,915,10,13.6,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,5.0000000000000001E-3,0.51200000000000001,0.48299999999999998,1,0,0,1,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,42.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
447,29,Botchorishvili (2007),6.8,0.6,11.333333333333334,6.2,7.3999999999999995,0.23189964848373007,0.020461733689740885,48.87171415496335,0,1,0,0,1,0,0,2276,15,2260,10,13.2,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,7.0000000000000001E-3,0.59399999999999997,0.39900000000000002,1,0,0.59599999999999997,0.40400000000000003,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
448,29,Botchorishvili (2007),7.06,0.78,9.051282051282051,6.279999999999999,7.84,0.23986475186127454,0.026500638307619565,37.734940132082635,0,1,0,0,1,0,0,1357,14,1342,10,12.9,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,7.0000000000000001E-3,0.65100000000000002,0.34200000000000003,1,0,1,0,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
449,29,Botchorishvili (2007),6.21,0.94,6.6063829787234045,5.27,7.15,0.21460560973649845,0.032484585048680924,30.783831731309316,0,1,0,0,1,0,0,919,14,904,10,13.6,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,5.0000000000000001E-3,0.51200000000000001,0.48299999999999998,1,0,0,1,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,42.2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
450,29,Botchorishvili (2007),6.16,0.86,7.162790697674419,5.3,7.0200000000000005,0.19189297421546586,0.02679025289371764,37.327008594028676,0,1,0,0,1,0,0,1357,14,1342,10,12.9,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,7.0000000000000001E-3,0.65100000000000002,0.34200000000000003,1,0,1,0,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
451,29,Botchorishvili (2007),5.48,1.3,4.2153846153846155,4.180000000000001,6.78,0.13884365792453493,0.03293736410618529,30.360656571550315,0,1,0,0,1,0,0,919,14,904,10,13.6,19.4797,1,0,0,0,1,0,0,1,0,1,0,2006,0,5.0000000000000001E-3,0.51200000000000001,0.48299999999999998,1,0,0,1,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,42.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
452,29,Botchorishvili (2007),6,1.2,5,4.8,7.2,0.16602227504272984,0.03320445500854597,30.116440692751194,0,1,0,0,1,0,0,897,14,882,10,13.3,21.712,1,0,0,0,1,0,0,1,0,1,0,2006,0,8.0000000000000002E-3,0.56800000000000006,0.42399999999999999,1,0,1,0,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,41.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
453,29,Botchorishvili (2007),6.29,1.6,3.93125,4.6899999999999995,7.890000000000001,0.14555646222812504,0.03702549118680446,27.008419549512706,0,1,0,0,1,0,0,729,14,714,10,14,22.378,1,0,0,0,1,0,0,1,0,1,0,2006,0,3.0000000000000001E-3,0.43899999999999995,0.55800000000000005,1,0,0,1,0.64400000000000002,0.35599999999999998,1,0,NA,NA,Georgia,0,0,1,0,0,0,0,0,1,0,NA,51,0.756,42.1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0.298,3,0,1,28,NA,NA,NA,NA,NA,X
454,30,Girma & Kedir (2005),14.7,0.8207705192629815,17.91,13.879229480737017,15.520770519262982,0.42346601809461165,0.023644110446376973,42.2938305193559,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
455,30,Girma & Kedir (2005),19.3,1.2363869314541962,15.61,18.063613068545806,20.536386931454196,0.3773050492689303,0.024170727051180674,41.37235913022123,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
456,30,Girma & Kedir (2005),18.9,0.840747330960854,22.48,18.059252669039143,19.740747330960854,0.5060509015097097,0.022511161099186373,44.42240875954387,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
457,30,Girma & Kedir (2005),15.2,0.5880077369439071,25.85,14.611992263056091,15.788007736943907,0.5592903227664665,0.021635989275298514,46.21928709965137,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
458,30,Girma & Kedir (2005),12.1,0.5731880625296069,21.11,11.526811937470393,12.673188062529606,0.48256854443850716,0.022859713142515736,43.74508086630998,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
459,30,Girma & Kedir (2005),10.9,1.0976837865055389,9.93,9.80231621349446,11.99768378650554,0.2508820029126688,0.025265055681034123,39.580360028680886,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
460,30,Girma & Kedir (2005),13.7,3.317191283292978,4.13,10.382808716707022,17.017191283292977,0.10717130145140812,0.02594946766377921,38.53643600542219,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
461,30,Girma & Kedir (2005),12.6,5.25,2.4,7.35,17.85,0.06251696111187564,0.02604873379661485,38.389581920099104,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
462,30,Girma & Kedir (2005),19.6,2.5000000000000004,7.84,17.1,22.1,0.20046853007196822,0.02556996557040411,39.10838273311746,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
463,30,Girma & Kedir (2005),18.6,2.4281984334203655,7.66,16.171801566579635,21.028198433420368,0.19604482709698576,0.02559331946435845,39.07269634924111,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
464,30,Girma & Kedir (2005),10.7,1.9814814814814812,5.4,8.718518518518518,12.68148148148148,0.13955957945972247,0.025844366566615273,38.693151848873725,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
465,30,Girma & Kedir (2005),9.2,4.717948717948718,1.95,4.482051282051281,13.917948717948718,0.05082879842112544,0.02606605047237202,38.36407825036332,0,1,0,1,0,0,0,1476,7,1468,12,9,10.6,1,0,1,0,0,0,0,1,0,0,1,1995,NA,NA,NA,NA,1,0,0.63200000000000001,0.36799999999999999,0.371,0.629,0,1,0,1,Ethiopia,0,0,0,0,0,0,1,0,0,1,NA,NA,0.309,37,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0.139,46,1,0,26,NA,NA,NA,NA,NA,X
466,31,De Brauw & Rozelle (2008),6.3,0.8377659574468085,7.52,5.462234042553192,7.137765957446808,0.22951264688149664,0.030520298787433064,32.76507897136828,1,0,1,0,0,0,0,1023,5,1017,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
467,31,De Brauw & Rozelle (2008),6.1,0.8276797829036634,7.37,5.272320217096336,6.927679782903663,0.2252741171820597,0.03056636596771502,32.71569806683024,1,0,1,0,0,0,0,1023,6,1016,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
468,31,De Brauw & Rozelle (2008),6.5,0.8904109589041096,7.3,5.609589041095891,7.390410958904109,0.22742757354036125,0.03115446212881661,32.09813078669847,1,0,1,0,0,0,0,986,8,977,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
469,31,De Brauw & Rozelle (2008),6.4,0.8683853459972863,7.37,5.5316146540027145,7.268385345997286,0.12618462893964844,0.017121387915827468,58.40647994871802,1,0,1,0,0,0,0,3364,6,3357,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
470,31,De Brauw & Rozelle (2008),4.3,1.4625850340136055,2.94,2.8374149659863943,5.762585034013606,0.05067727660517777,0.017237168913325773,58.014167235253836,1,0,1,0,0,0,0,3364,6,3357,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
471,31,De Brauw & Rozelle (2008),7.8,1.1854103343465046,6.58,6.6145896656534955,8.985410334346504,0.112841150584339,0.01714911103105456,58.3120605020951,1,0,1,0,0,0,0,3364,6,3357,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
472,31,De Brauw & Rozelle (2008),10.5,1.2804878048780488,8.2,9.21951219512195,11.78048780487805,0.20660483785702163,0.025195711933783126,39.68929326657254,1,0,1,0,0,0,0,1515,6,1508,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
473,31,De Brauw & Rozelle (2008),8.9,2.8253968253968256,3.15,6.074603174603174,11.725396825396826,0.08085106678071736,0.02566700532721186,38.96052489379474,1,0,1,0,0,0,0,1515,6,1508,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
474,31,De Brauw & Rozelle (2008),11.7,1.4516129032258063,8.06,10.248387096774193,13.151612903225805,0.20322433235021214,0.025213937016155347,39.66060513910498,1,0,1,0,0,0,0,1515,6,1508,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
475,31,De Brauw & Rozelle (2008),2.9,1.5025906735751295,1.93,1.3974093264248704,4.40259067357513,0.04424552047319421,0.022925140141551403,43.620234983319385,1,0,1,0,0,0,0,1906,6,1899,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
476,31,De Brauw & Rozelle (2008),2.6,1.897810218978102,1.37,0.702189781021898,4.497810218978103,0.03142270517405361,0.022936281148944235,43.59904700793356,1,0,1,0,0,0,0,1906,6,1899,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
477,31,De Brauw & Rozelle (2008),-1,3.846153846153846,-0.26,-4.846153846153846,2.846153846153846,-0.005966273195313905,0.02294720459736117,43.578292761419654,1,0,1,0,0,0,0,1906,6,1899,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
478,31,De Brauw & Rozelle (2008),3.9,1.9509754877438719,1.999,1.949024512256128,5.850975487743872,0.06262194527120006,0.03132663595357682,31.9217167614776,1,0,1,0,0,0,0,1023,7,1015,16,5.45,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
479,31,De Brauw & Rozelle (2008),7.4,1.1297709923664123,6.55,6.2702290076335885,8.529770992366412,0.20138099312014243,0.030745189789334722,32.52541314111167,1,0,1,0,0,0,0,1023,7,1015,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
480,31,De Brauw & Rozelle (2008),6,3.333333333333333,1.8,2.666666666666667,9.333333333333332,0.06968374266188222,0.03871319036771234,25.830989140952386,1,0,1,0,0,0,0,672,7,664,16,5.45,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
481,31,De Brauw & Rozelle (2008),11.5,1.4631043256997456,7.86,10.036895674300254,12.963104325699746,0.2917562495044775,0.037119115713037845,26.940296954562324,1,0,1,0,0,0,0,672,7,664,16,7.68,17.46,1,0,1,0,0,0,1,0,0,1,0,2000,NA,NA,NA,NA,0.64,0.36,NA,NA,NA,NA,0,1,1,0,China,0,1,0,0,0,0,0,0,1,0,818,95,0.294,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0.123,226,1,0,29,NA,NA,NA,NA,NA,X
482,32,Chanis et al. (2021),6.62,0.39,16.974358974358974,6.23,7.01,0.7442826674266283,0.04384746832271677,22.806333826163318,1,0,1,0,0,0,0,237,4,232,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
483,32,Chanis et al. (2021),9.97,1.11,8.981981981981981,8.860000000000001,11.08,0.5104090955434886,0.056825887267128616,17.59761348378379,1,0,1,0,0,0,0,237,7,229,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
484,32,Chanis et al. (2021),5.72,0.67,8.53731343283582,5.05,6.39,0.49217600558469293,0.057649986668137115,17.346057784132938,1,0,1,0,0,0,0,237,8,228,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
485,32,Chanis et al. (2021),5.28,0.7,7.542857142857144,4.58,5.98,0.4468828645239105,0.05924583431188208,16.87882382980375,1,0,1,0,0,0,0,237,8,228,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
486,32,Chanis et al. (2021),8.99,1.39,6.467625899280576,7.6000000000000005,10.38,0.3937310147230147,0.0608772091729689,16.4265085996095,1,0,1,0,0,0,0,237,8,228,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
487,32,Chanis et al. (2021),7.98,1.8,4.433333333333334,6.180000000000001,9.780000000000001,0.2817132819006157,0.06354434930089074,15.737040523695823,1,0,1,0,0,0,0,237,8,228,6,15.0462,15.1765,1,0,0,0,1,0,0,0,1,1,0,2017,0,0,0.185,0.81499999999999995,1,0,0.36969999999999997,0.63029999999999997,0,1,1,0,0,1,Greece,1,0,0,0,0,0,0,1,0,0,12659,1092,0.866,40.1933,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1.35,0,1,0,42,NA,NA,NA,NA,NA,X
