Study title,Link,Citation,
Education and Labour Market Earnings in Low Income Countries: Empirical Evidence for Tanzania,http://www.journals.udsm.ac.tz/index.php/tjpsd/article/view/3686,"Joseph, Cornel. ""Education and Labour Market Earnings in Low Income Countries: Empirical Evidence for Tanzania."" Tanzania Journal for Population studies and Development 26, no. 2 (2020).", 
Estimate of the private return on education in Indonesia: Evidence from sibling data,https://www.sciencedirect.com/science/article/pii/S0738059315000255,"Dumauli, Magdalena Triasih. ""Estimate of the private return on education in Indonesia: Evidence from sibling data."" International Journal of Educational Development 42 (2015): 14-24.", 
The changing economics of education,https://link.springer.com/chapter/10.1007/978-1-349-02673-9_4,"Griliches, Zvi. The changing economics of education. Palgrave Macmillan UK, 1976.", 
Returns to apprenticeship training in Austria: Evidence from failed firms,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9442.2008.00559.x,"FERSTERER, Josef; PISCHKE, Jörn?Steffen; WINTER?EBMER, Rudolf. Returns to apprenticeship training in Austria: Evidence from failed firms. The Scandinavian Journal of Economics, 2008, 110.4: 733-753.", 
Gender differences in costs and returns to higher education,https://library.oapen.org/bitstream/handle/20.500.12657/30865/641516.pdf?sequence=1#page=253,"Sinning, Mathias. ""Gender differences in costs and returns to higher education."" AND GENDER (2017): 227.", 
Are Returns to Schooling Concentrated Among the Most Able? A Semiparametric Analysis of the Ability–earnings Relationships1,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0084.00038,"Tobias, Justin L. ""Are Returns to Schooling Concentrated Among the Most Able? A Semiparametric Analysis of the Ability–earnings Relationships 1."" Oxford Bulletin of Economics and Statistics 65, no. 1 (2003): 1-29.", 
Instrumenting Education and Returns to Schooling in Indonesia,http://journal.uny.ac.id/index.php/economia/article/view/1807,"Purnastuti, Losina. ""Instrumenting Education and Returns to Schooling in Indonesia."" Jurnal Economia 9, no. 2 (2013): 166-174.", 
Heterogeneous returns to education in the labor market,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2129612,"Fasih, Tazeen, Geeta Gandhi Kingdon, Harry A. Patrinos, Chris Sakellariou, and M?ns Söderbom. ""Heterogeneous returns to education in the labor market."" World Bank Policy Research Working Paper 6170 (2012).", 
Returns to Education and Experience in Criminal Organizations: Evidence from the Italian-American Mafia,https://repository.essex.ac.uk/13795/,"Campaniello, Nadia, Rowena Gray, and Giovanni Mastrobuoni. ""Returns to Education and Experience in Criminal Organizations: Evidence from the Italian-American Mafia."" (2015).", 
Using unemployment rates as instruments to estimate returns to schooling,https://onlinelibrary.wiley.com/doi/abs/10.4284/sej.2010.76.3.711,"Arkes, Jeremy. ""Using unemployment rates as instruments to estimate returns to schooling."" Southern Economic Journal 76, no. 3 (2010): 711-722.", 
"Education development in China: Education return, quality, and equity",https://www.mdpi.com/493848,"Guo, Lijia, Jiashun Huang, and You Zhang. ""Education development in China: Education return, quality, and equity."" Sustainability 11, no. 13 (2019): 3750.", 
The private and fiscal returns to higher education: a simulation approach for a young German cohort,https://www.econstor.eu/handle/10419/228537,"Fischer, Benjamin, and Dominik Hügle. The private and fiscal returns to higher education: a simulation approach for a young German cohort. No. 2020/21. Discussion Paper, 2020.", 
The relevance of standard estimates of rates of return to schooling for education policy: A critical assessment,https://www.sciencedirect.com/science/article/pii/S0304387896004154,"Glewwe, Paul. ""The relevance of standard estimates of rates of return to schooling for education policy: A critical assessment."" Journal of Development economics 51, no. 2 (1996): 267-290.", 
Access to higher education and inequality: The Chinese experiment,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=996402,"Wang, Xiaojun, Belton M. Fleisher, Haizheng Li, and Li Shi. ""Access to higher education and inequality: The Chinese experiment."" (2007).", 
Estimating the return to investments in education: how useful is the standard Mincer equation?,https://www.sciencedirect.com/science/article/pii/S0272775701000036,"Björklund, Anders, and Christian Kjellström. ""Estimating the return to investments in education: how useful is the standard Mincer equation?."" Economics of Education Review 21, no. 3 (2002): 195-210.", 
Heterogeneity in the returns to higher education,https://www.sciencedirect.com/science/article/pii/B9780128153918000069,"Walker, Ian. ""Heterogeneity in the returns to higher education."" In The Economics of Education, pp. 75-90. Academic Press, 2020.", 
"Estimating the returns to education: Models, methods and results","https://eprints.lse.ac.uk/19536/1/Estimating_the_Returns_to_Education_Models,_Methods_and_Results.pdf","Blundell, Richard, Lorraine Dearden, and Barbara Sianesi. ""Estimating the returns to education: Models, methods and results."" (2001).", 
Returns to schooling in Palestine: a Bayesian approach,https://www.inderscienceonline.com/doi/abs/10.1504/IJEED.2020.104285,"Ayyash, Mohsen, Tareq Sadeq, and Siok Kun Sek. ""Returns to schooling in Palestine: a Bayesian approach."" International Journal of Education Economics and Development 11, no. 1 (2020): 37-57.", 
"Tax, Social Policy and Gender",None,"Sinning, Mathias. ""Tax, Social Policy and Gender.""", 
Conceptual framework for the analysis of the social benefits of lifelong learnings,https://www.tandfonline.com/doi/abs/10.1080/09645299800000022,"McMahon, Walter W. ""Conceptual framework for the analysis of the social benefits of lifelong learnings."" Education economics 6, no. 3 (1998): 309-346.", 
The wage premium on tertiary education: New estimates for 21 OECD countries,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1860950,"Strauss, Hubert, and Christine De la Maisonneuve. ""The wage premium on tertiary education: New estimates for 21 OECD countries."" OECD Journal: Economic Studies 2009 (2009): 183-210.", 
Wage returns to university disciplines in Greece: are Greek higher education degrees Trojan Horses?,https://www.tandfonline.com/doi/abs/10.1080/09645290903546363,"Livanos, Ilias, and Konstantinos Pouliakas. ""Wage returns to university disciplines in Greece: are Greek higher education degrees Trojan Horses?."" Education Economics 19, no. 4 (2011): 411-445.", 
Endogenous wage determinants and returns to education in Spain,https://www.emerald.com/insight/content/doi/10.1108/01437721011057001/full/html,"Ruiz, Antonio Caparrós, Lucía Navarro Gómez, and Mario Rueda Narváez. ""Endogenous wage determinants and returns to education in Spain."" International Journal of Manpower (2010).", 
Not All University Degrees Yield the Same Return: Private and Social Returns to Higher Education for Males in Spain,None,"Oliver, Josep, Xavier Ramos, and José Luis Raymond. ""Not All University Degrees Yield the Same Return: Private and Social Returns to Higher Education for Males in Spain."" Departament d'Economia Aplicada (1999).", 
Labour market consequences of a high school diploma,https://www.tandfonline.com/doi/abs/10.1080/00036846.2018.1543939,"Mazrekaj, Deni, Kristof De Witte, and Sarah Vansteenkiste. ""Labour market consequences of a high school diploma."" Applied Economics 51, no. 21 (2019): 2313-2325.", 
14 The effect of education and wage determination in China's rural industry,https://www.taylorfrancis.com/chapters/edit/10.4324/9780203960912-25/effect-education-wage-determination-china-rural-industry-haizheng-li-aselia-urmanbetova,"Li, Haizheng, and Aselia Urmanbetova. ""14 The effect of education and wage determination in China’s rural industry."" Private Enterprises and China’s Economic Development (2007): 235.", 
Returns to schooling for urban and migrant workers in,None,"Sakellariou, Christos, and Zheng Fang. ""Returns to schooling for urban and migrant workers in."" (2015).", 
Intergenerational mobility in Latin America: deeper markets and better schools make a difference,https://www.academia.edu/download/51408431/Intergenerational_mobility_in_Latin_Amer20170118-2337-1ojv4t9.pdf,"Behrman, Jere R., Nancy Birdsall, and Miguel Székely. Intergenerational mobility in Latin America: deeper markets and better schools make a difference. Vol. 3. Carnegie Endowment for International Peace, Global Policy Program, 1999.", 
Is it ever too late to study? The economic returns on late tertiary degrees in Sweden,https://www.sciencedirect.com/science/article/pii/S0272775711001737,"Hällsten, Martin. ""Is it ever too late to study? The economic returns on late tertiary degrees in Sweden."" Economics of Education Review 31, no. 1 (2012): 179-194.", 
4 The Changing Economics of,https://books.google.com/books?hl=en&lr=&id=WUywCwAAQBAJ&oi=fnd&pg=PA35&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=ZsVaMyn1e1&sig=4RgBzdc-o1A6OdYlZ23FdTenJRI,"GRILICHES, Z. ""4 The Changing Economics of."" Resource Allocation and Economic Policy (1976): 35.", 
Returns to Schooling in Saint Lucia using a Mincerian Earning Framework,https://www.finance.gov.lc/resources/download/2137/.pdf,"Simeon, Nadia, Nadine Isidore, and Tommy Descartes. ""Returns to Schooling in Saint Lucia using a Mincerian Earning Framework."" (2020).", 
"Firm Productivity, Worker Ability, and Returns to Education",http://web.ceu.hu/labor/cost/Papers/Frazer.pdf,"Frazer, Garth. ""Firm Productivity, Worker Ability, and Returns to Education.""", 
Cost of poor health to the labour market returns to education in Australia: another pathway for socio-economic inequality,https://link.springer.com/article/10.1007/s10198-020-01163-2,"Doan, Tinh, Lyndall Strazdins, and Liana Leach. ""Cost of poor health to the labour market returns to education in Australia: another pathway for socio-economic inequality."" The European Journal of Health Economics 21 (2020): 635-648.", 
Flexibility at a cost–should governments stimulate tertiary education for adults?,https://www.sciencedirect.com/science/article/pii/S2212828X16000025,"Stenberg, Anders, and Olle Westerlund. ""Flexibility at a cost–should governments stimulate tertiary education for adults?."" The Journal of the Economics of Ageing 7 (2016): 69-86.", 
Human Capital and Productivity: A Labour Market Perspective,https://www.emerald.com/insight/content/doi/10.1108/S0573-8555(2004)0000263009/full/html,"van Winden, Pieter, and Anne Reitsma. ""Human Capital and Productivity: A Labour Market Perspective."" In Fostering Productivity: Patterns, Determinants and Policy Implications, vol. 263, pp. 115-139. Emerald Group Publishing Limited, 2004.", 
PACIFIC TRADE AND DEVELOPMENT,https://paftad.org/wp-content/uploads/2018/04/35-05_Zhu.pdf,"Zhu, Rong. ""PACIFIC TRADE AND DEVELOPMENT.""", 
Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden,https://lup.lub.lu.se/student-papers/record/8947889/file/8947989.pdf,"Bergman, Emil, and Carl-Gustav Schöön. ""Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden."" (2018).", 
Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden,https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=8947889&fileOId=8947989,"Schöön, Carl-Gustav, and Emil Bergman. ""Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden."" (2018).", 
Signalling and screening,https://www.elgaronline.com/downloadpdf/184376119X.pdf#page=70,"Brown, Sarah, and John G. Sessions. ""Signalling and screening."" International handbook on the economics of education 9 (2004): 58-100.", 
12 Returns to education in rural China,https://books.google.com/books?hl=en&lr=&id=CPnZ6kbn1kcC&oi=fnd&pg=PA206&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=8pUzTTARo5&sig=wd0H-r_fkbUHC-Oc5whOPtJRHsQ,"De Brauw, Alan, and Scott Rozelle. ""12 Returns to education in rural China."" Education and reform in China (2007): 207.", 
The private internal rates of return to tertiary education: new estimates for 21 OECD countries,https://www.oecd-ilibrary.org/content/paper/031008650733,"Boarini, Romina, and Hubert Strauss. ""The private internal rates of return to tertiary education: new estimates for 21 OECD countries."" (2007).", 
Empirical evidence on human capital externalities,https://www.researchgate.net/profile/Jim-Davies-3/publication/5022150_Empirical_Evidence_on_Human_Capital_Externalities/links/5744925108aea45ee8537bb3/Empirical-Evidence-on-Human-Capital-Externalities.pdf,"Davies, Jim. Empirical evidence on human capital externalities. Department of Finance, 2003.", 
Not all university degrees yield the same return: private and social returns to higher education for males in Spain,https://ddd.uab.cat/record/44323,"Ramos Morilla, Xavier, José Luis Raymond Bara, and Josep Oliver i Alonso. ""Not all university degrees yield the same return: private and social returns to higher education for males in Spain."" (1999).", 
Happiness on tap: Piped water adoption in urban Morocco,https://www.aeaweb.org/articles?id=10.1257/pol.4.4.68,"Devoto, Florencia, Esther Duflo, Pascaline Dupas, William Parienté, and Vincent Pons. ""Happiness on tap: Piped water adoption in urban Morocco."" American Economic Journal: Economic Policy 4, no. 4 (2012): 68-99.", 
Nonmonetary Private Returns of Higher Education,https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_117.pdf,"McMahon, Walter W. ""Nonmonetary Private Returns of Higher Education."" In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2103-2108. Dordrecht: Springer Netherlands, 2020.", 
Human capital and rates of return,https://www.elgaronline.com/downloadpdf/184376119X.pdf#page=13,"Psacharopoulos, George, and Harry Anthony Patrinos. ""Human capital and rates of return."" International handbook on the economics of education (2004): 1-57.", 
Economic returns to schooling in urban China: OLS and the instrumental variables approach,https://www.sciencedirect.com/science/article/pii/S1043951X09000078,"Guifu, C. H. E. N., and Shigeyuki Hamori. ""Economic returns to schooling in urban China: OLS and the instrumental variables approach."" China Economic Review 20, no. 2 (2009): 143-152.", 
Gary Becker's early work on human capital–collaborations and distinctiveness,https://link.springer.com/article/10.1186/s40172-014-0012-2,"Teixeira, Pedro Nuno. ""Gary Becker’s early work on human capital–collaborations and distinctiveness."" IZA Journal of Labor Economics 3 (2014): 1-20.", 
Returns to Education in China's Urban Labour Market: Evidence from Matched Employer-Employee Data for Shanghai,https://link.springer.com/chapter/10.1007/978-3-642-54227-5_9,"Mishra, Vinod, and Russell Smyth. ""Returns to Education in China’s Urban Labour Market: Evidence from Matched Employer-Employee Data for Shanghai."" Urban China in the New Era: Market Reforms, Current State, and the Road Forward (2014): 169-183.", 
The urban labour market during structural adjustment: Ethiopia 1990-1997,https://ora.ox.ac.uk/objects/uuid:5e8f721d-36e6-4b04-aa64-d876d6556798/download_file?safe_filename=9809text.pdf&type_of_work=Working+paper,"Krishnan, Pramila, Stefan Dercon, and T. Selassie. ""The urban labour market during structural adjustment: Ethiopia 1990-1997."" (1998).", 
,,"Grootes, Pieter Brian. ""The labour market drop-out rate: a new approach to estimating the returns to Government investment in higher education: the case for marine science in South Africa."" PhD diss., Rhodes University, 2004.", 
The higher returns to formal education for entrepreneurs versus employees,https://link.springer.com/article/10.1007/s11187-012-9443-y,"Van Praag, Mirjam, Arjen van Witteloostuijn, and Justin van der Sluis. ""The higher returns to formal education for entrepreneurs versus employees."" Small Business Economics 40 (2013): 375-396.", 
"Education and earnings in Nigeria, 1974-1992",None,"Morgan, Stephen L., and William R. Morgan. ""Education and earnings in Nigeria, 1974-1992."" Research in Social Stratification and Mobility 16 (1998): 3-26.", 
Characterization of returns to education in Portugal: 1986–2009,None,"Sousa, Sandra, Miguel Portela, and Carla Sá. ""Characterization of returns to education in Portugal: 1986–2009."" In 4th Linked Employer-Employee data (LEED) Workshop, Instituto Superior Técnico, Lisbon, Portugal. 2015.", 
Education and entrepreneurial success,https://link.springer.com/article/10.1007/s11187-014-9621-1,"Kolstad, Ivar, and Arne Wiig. ""Education and entrepreneurial success."" Small Business Economics 44 (2015): 783-796.", 
Rate of Return to Education: A Distributional Analysis Using the LifePaths Model.,https://eric.ed.gov/?id=ED505310,"BOOTHBY, Daniel; ROWE, Geoff. Rate of Return to Education: A Distributional Analysis Using the LifePaths Model. Human Resources Development Canada. Service Canada, Ottawa, ON K1A 0J9, Canada, 2002.", 
"How English domiciled graduate earnings vary with gender, institution attended, subject and socio-economic background",https://www.econstor.eu/handle/10419/173940,"Britton, Jack, Lorraine Dearden, Neil Shephard, and Anna Vignoles. How English domiciled graduate earnings vary with gender, institution attended, subject and socio-economic background. No. W16/06. IFS working papers, 2016.", 
The Economic and Social Returns to FE Colleges,None,"Blanden, Jo, Mirko Draca, and Steven McIntosh. ""The Economic and Social Returns to FE Colleges."" A report for the Department for Education and Skills (2005).", 
The returns to education in China: Evidence from the 1986 compulsory education law,https://www.nber.org/papers/w18189,"Fang, Hai, Karen N. Eggleston, John A. Rizzo, Scott Rozelle, and Richard J. Zeckhauser. The returns to education in China: Evidence from the 1986 compulsory education law. No. w18189. National Bureau of Economic Research, 2012.", 
Returns to schooling in Uruguay,https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/2057/1/DT%20E%202006-14.pdf,"Sanroman, Graciela. ""Returns to schooling in Uruguay."" Documento de Trabajo/FCS-DE; 14/06 (2006).", 
The wage premium on tertiary education: New estimates for 21 OECD countries,https://www.oecd-ilibrary.org/economics/the-wage-premium-on-tertiary-education_033568367526,"Strauss, Hubert, and Christine de La Maisonneuve. ""The wage premium on tertiary education: New estimates for 21 OECD countries."" (2007).", 
Zvi Griliches' contribution to the theory of human capital,https://www.nber.org/papers/w10081,"Gronau, Reuben. ""Zvi Griliches' contribution to the theory of human capital."" (2003).", 
Returns to education in Central and Eastern European transition economies: The role of macroeconomic context,https://journals.sagepub.com/doi/pdf/10.1177/17454999221122327,"Wincenciak, Leszek, Gabriela Grotkowska, and Tomasz Gajderowicz. ""Returns to education in Central and Eastern European transition economies: The role of macroeconomic context."" Research in Comparative and International Education 17, no. 4 (2022): 655-676.", 
The Health Returns to Education-What Can We Learn from Twins?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1113685,"Lundborg, Petter. ""The Health Returns to Education-What Can We Learn from Twins?."" (2008).", 
Returns to education and annual income gaps updated in Israel: a quantile regression approach,https://www.inderscienceonline.com/doi/abs/10.1504/IJSE.2013.050600,"Changqing, Xu. ""Returns to education and annual income gaps updated in Israel: a quantile regression approach."" International Journal of Sustainable Economy 5, no. 1 (2013): 76-103.", 
The impact of education on economic and social outcomes: An overview of recent advances in economics,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7641f35a3de8038c258c851c46dd78c6d97b6a04,"Riddell, William Craig. The impact of education on economic and social outcomes: An overview of recent advances in economics. Canadian Policy Research Networks, 2006.", 
Return to Education and Income Inequality in Europe and the US,https://gini-research.org/wp-content/uploads/2021/03/DP_69_Return-to-Education-and-Income-Inequality-in-Europe-and-the-US.pdf,"Mastromarco, Camilla, Vito Peragine, and Laura Serlenga. ""Return to Education and Income Inequality in Europe and the US."" Amsterdam: Amsterdam Institute for Advanced Labor Studies (2011).", 
Earnings and human capital: evidence for Finland,https://www.etla.fi/wp-content/uploads/b156.pdf#page=53,"Asplund, Rita. ""Earnings and human capital: evidence for Finland."" Returns to Human Capital in Europe (1999).", 
The Benefits of VET,None,"VOGTENHUBER, STEFAN. ""The Benefits of VET."" National VET Research Report Austria. Vienna: Refer Net Austria (2009).", 
The economic returns to lifelong learning in OECD countries,https://www.tandfonline.com/doi/abs/10.1080/09645299800000021,"Cohn, Elchanan, and John T. Addison. ""The economic returns to lifelong learning in OECD countries."" Education economics 6, no. 3 (1998): 253-307.", 
Revisiting the returns to schooling in the Portuguese economy,https://www.bportugal.pt/sites/default/files/anexos/papers/ree201705_e.pdf,"Campos, M., and Hugo Reis. ""Revisiting the returns to schooling in the Portuguese economy."" Banco de Portugal Economic Studies 3, no. 2 (2017): 1-28.", 
Economic impact of education: Evidence and relevance,https://eprints.gla.ac.uk/114207/1/114207.pdf,"Hermannsson, Kristinn. ""Economic impact of education: Evidence and relevance."" (2016): 873-893.", 
A test of the sorting model of education in Australia,https://www.sciencedirect.com/science/article/pii/S0272775704000317,"Miller, Paul W., Charles Mulvey, and Nick Martin. ""A test of the sorting model of education in Australia."" Economics of Education Review 23, no. 5 (2004): 473-482.", 
The returns to college quality in Japan: Does your college choice affect your earnings?,https://lab.iisec.ac.jp/~hiromatsu/2013-kaken/files/inui%E3%83%BBesri201311.pdf,"Nakamuro, Makiko, and Tomohiko Inui. The returns to college quality in Japan: Does your college choice affect your earnings?. Vol. 306. ESRI Discussion Paper Series, 2013.", 
Returns to Education and Human Capital Externalities: Empirical Evidence from Indonesia,https://espace.curtin.edu.au/handle/20.500.11937/70523,"Purnastuti, Losina. ""Returns to Education and Human Capital Externalities: Empirical Evidence from Indonesia."" PhD diss., Curtin University, 2011.", 
Social returns to education in the Republic of Mauritius,https://discovery.ucl.ac.uk/id/eprint/10006684/1/497985.pdf,"Sanmukhiya, Chintamanee. ""Social returns to education in the Republic of Mauritius."" PhD diss., Institute of Education, University of London, 2007.", 
,https://www.monash.edu/__data/assets/pdf_file/0007/925810/returns_to_schooling_in_urban_china_new_evidence_using_heteroskedasticity_restrictions_to_obtain_identification_without_exclusion_restrictions.pdf,"Returns to schooling in urban China: New evidence using heteroskedasticity restrictions to obtain identification without exclusion restrictions Mishra, Vinod, and Russell Smyth. ""Returns to schooling in urban China: New evidence using heteroskedasticity restrictions to obtain identification without exclusion restrictions."" Department of Economics, Monash University, Discussion Paper 33 (2012): 12.", 
"What's the value of a degree? Evidence from Egypt, Jordan and Tunisia",https://www.tandfonline.com/doi/shareview/10.1080/03057925.2019.1590801,"Krafft, Caroline, Zea Branson, and Taylor Flak. ""What’s the value of a degree? Evidence from Egypt, Jordan and Tunisia."" Compare: A Journal of Comparative and International Education (2019).", 
The rate of return to higher education over the business cycle,https://search.informit.org/doi/abs/10.3316/ielapa.444324388637913,"Corliss, Michael, Phil Lewis, and Anne Daly. ""The rate of return to higher education over the business cycle."" Australian Journal of Labour Economics 16, no. 2 (2013): 219-236.", 
Private and Social Returns to Investment in Education,https://openknowledge.worldbank.org/handle/10986/35818,"Patrinos, Harry Anthony, George Psacharopoulos, and Aysit Tansel. ""Private and Social Returns to Investment in Education."" (2020).", 
How profitable is to study in Spain? An empirical insight using a new source of information,https://rua.ua.es/dspace/handle/10045/2550,"Casado-Díaz, José M., and Adelaida Lillo-Ba?uls. ""How profitable is to study in Spain? An empirical insight using a new source of information."" (2005).", 
Course non-completion and multiple qualifications: re-estimating the returns to education in Australia,https://search.informit.org/doi/abs/10.3316/informit.380460972557504,"Peters, Austen, Alfred M. Dockery, and Sherry Bawa. ""Course non-completion and multiple qualifications: re-estimating the returns to education in Australia."" Australian Journal of Labour Economics 25, no. 1 (2022): 55-80.", 
An analysis of labour market returns to education in Vietnam: evidence from the national labour force survey 2012,https://www.itcilo.org/sites/default/files/inline-files/nguyen.pdf,"Tien, Nguyen Dung. ""An analysis of labour market returns to education in Vietnam: evidence from the national labour force survey 2012."" International Training Centre of the International Labour Organization Working Paper 3 (2014): 1-31.", 
The changing Rates of Return to Education in India: Evidence from NSS data,http://isec.ac.in/WP%20358%20-%20Smritirekha%20Singhari%20and%20S%20Madheswaran%20-%20Final.pdf,"Singhari, Smrutirekha, and S. Madheswaran. The changing Rates of Return to Education in India: Evidence from NSS data. Bangalore: Institute for Social and Economic Change, 2016.", 
RETURNS TO EDUCATION CASE OF UKRAINE,https://kse.ua/wp-content/uploads/2019/02/Leshchenko.pdf,"Natalie, Leschenko. ""RETURNS TO EDUCATION CASE OF UKRAINE."" PhD diss., National University, 2001.", 
Returns to schooling for urban and migrant workers in China: a detailed investigation,https://www.tandfonline.com/doi/abs/10.1080/00036846.2015.1085642,"Sakellariou, Chris, and Zheng Fang. ""Returns to schooling for urban and migrant workers in China: a detailed investigation."" Applied Economics 48, no. 8 (2016): 684-700.", 
Welsh Assembly Government,https://www.gov.wales/sites/default/files/statistics-and-research/2018-12/060524-economic-returns-education-en.pdf,"Sloane, Peter, Nigel O’Leary, Philip Murphy, and David Blackaby. ""Welsh Assembly Government."" (2003).", 
The economic value of a law degree,https://www.journals.uchicago.edu/doi/abs/10.1086/677921,"Simkovic, Michael, and Frank McIntyre. ""The economic value of a law degree."" The Journal of Legal Studies 43, no. 2 (2014): 249-289.", 
Educational Wage Returns in Norway: A Sector Selection Model with Endogenous Schooling,https://www.duo.uio.no/handle/10852/17553,"Bhuller, Manudeep Singh. ""Educational Wage Returns in Norway: A Sector Selection Model with Endogenous Schooling."" Master's thesis, 2008.", 
"R&D, education, and productivity: A retrospective",None,"R&D, education, and productivity: A retrospective https://books.google.com/books?hl=en&lr=&id=G6cgNS8vhEUC&oi=fnd&pg=PP13&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=QsAv-ZkecL&sig=sT5450ZnIkI71eKh5X-_03cxaII", 
Education and labour market outcomes in Sub-Saharan West Africa,https://core.ac.uk/download/pdf/39842202.pdf,"Kuepie, Mathias, Christophe J. Nordman, and François Roubaud. ""Education and labour market outcomes in Sub-Saharan West Africa."" Paris: DIAL (2006).", 
A review of human capital theory: Microeconomics,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=957993,"Fleischhauer, Kai-Joseph. ""A review of human capital theory: Microeconomics."" University of St. Gallen, Department of Economics Discussion Paper 2007-01 (2007).", 
Returns to education in Europe,https://www.jstor.org/stable/40440958,"WÖßMANN, Ludger. Returns to education in Europe. 2003.", 
Returns to Educational Investment in Canada,https://ruor.uottawa.ca/bitstream/10393/25223/1/2004_xie_yaping.pdf,"Xie, Yaping. ""Returns to Educational Investment in Canada."" (2004).", 
The Causes and Consequences of Cross-Country Differences in Schooling Attainment,https://mpra.ub.uni-muenchen.de/id/eprint/18233,"Schoellman, Todd. ""The Causes and Consequences of Cross-Country Differences in Schooling Attainment."" (2008).", 
Measuring the effect of a school reform on educational attainment and earnings,https://www.ecmna114.com/legacy/en/papers/evaluation/Salvanes.pdf,"Aakvik, Arild, Kjell G. Salvanes, and Kjell Vaage. Measuring the effect of a school reform on educational attainment and earnings. mimeo, Norwegian School of Economics and Business Administration, Bergen, 2001.", 
"The Great Proletarian Cultural Revolution, Disruptions to Schooling, and the Returns to Schooling in Urban China.",https://ora.ox.ac.uk/objects/uuid:dae43fae-b8e3-466d-94e3-6964ef41690b,"Giles, John, Albert Park, and Meiyan Wang. ""The Great Proletarian Cultural Revolution, Disruptions to Schooling, and the Returns to Schooling in Urban China."" (2008).", 
Does family income matter for schooling outcomes? Using adoptees as a natural experiment,https://academic.oup.com/ej/article-abstract/115/506/879/5087767,"Plug, Erik, and Wim Vijverberg. ""Does family income matter for schooling outcomes? Using adoptees as a natural experiment."" The Economic Journal 115, no. 506 (2005): 879-906.", 
"The returns to education for opportunity entrepreneurs, necessity entrepreneurs, and paid employees",https://www.sciencedirect.com/science/article/pii/S0272775713001076,"Fossen, Frank M., and Tobias JM Büttner. ""The returns to education for opportunity entrepreneurs, necessity entrepreneurs, and paid employees."" Economics of Education Review 37 (2013): 66-84.", 
Indian labour markets and returns to education,https://journals.sagepub.com/doi/pdf/10.1177/0976399616655001,"Vatta, Kamal, Takahiro Sato, and Garima Taneja. ""Indian labour markets and returns to education."" Millennial Asia 7, no. 2 (2016): 107-130.", 
Do higher levels of education raise earnings in post-reform Russia?,https://www.tandfonline.com/doi/abs/10.2753/EEE0012-8775490403,"Akhmedjonov, Alisher. ""Do higher levels of education raise earnings in post-reform Russia?."" Eastern European Economics 49, no. 4 (2011): 47-60.", 
Private investment in human capital: effect on earnings in Ukraine,http://www.kse.org.ua/uploads/file/library/2004/Herasym.pdf,"Halyna, Herasym. ""Private investment in human capital: effect on earnings in Ukraine."" (2004).", 
Measuring the E¤ ect of a School Reform on Educational Attainment and Earnings,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=965ec4c98eb9dfa0db2a09bfde4a96fdef9548c7,"Aakviky, Arild, Kjell G. Salvanesz, and Kjell Vaagex. ""Measuring the E¤ ect of a School Reform on Educational Attainment and Earnings."" (2001).", 
The returns to formal schooling in Turkey using pseudo-panel data,https://dergipark.org.tr/en/pub/guiibd/issue/42214/477599,"KARATAª, Hac? Mevlüt. ""The returns to formal schooling in Turkey using pseudo-panel data."" Giresun Üniversitesi ?ktisadi ve ?dari Bilimler Dergisi 4, no. 2 (2018): 13-33.", 
The role of education quality for economic growth,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=960379,"Hanushek, Eric A., and Ludger Wößmann. ""The role of education quality for economic growth."" World Bank policy research working paper 4122 (2007).", 
Efficiency and equity in schools around the world,https://www.sciencedirect.com/science/article/pii/S0272775703000384,"Hanushek, Eric A., and Javier A. Luque. ""Efficiency and equity in schools around the world."" Economics of education Review 22, no. 5 (2003): 481-502.", 
